,"
            NFL Team
          ","
            W
          ","
            L
          ","
            T
          ","
            PCT
          ","
            PF
          ","
            PA
          ","
            Net Pts
          ","
            Home
          ","
            Road
          ","
            Div
          ","
            Pct
          ","
            Conf
          ","
            Pct
          ","
            Non-Conf
          ","
            Strk
          ","
            Last 5
          "
0,Cincinnati Bengals,2,14,0,0.125,279,420,-141,2 - 6 - 0,0 - 8 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,0 - 4 - 0,1W,2 - 3 - 0
1,Detroit Lions,3,12,1,0.219,341,423,-82,2 - 6 - 0,1 - 6 - 1,0 - 6 - 0,0.000,2 - 9 - 1,0.208,1 - 3 - 0,9L,0 - 5 - 0
2,Washington Redskins,3,13,0,0.188,266,435,-169,1 - 7 - 0,2 - 6 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,1 - 3 - 0,4L,1 - 4 - 0
3,New York Giants,4,12,0,0.250,341,451,-110,2 - 6 - 0,2 - 6 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,1L,2 - 3 - 0
4,Arizona Cardinals,5,10,1,0.344,361,442,-81,2 - 5 - 1,3 - 5 - 0,1 - 5 - 0,0.167,3 - 8 - 1,0.292,2 - 2 - 0,1L,2 - 3 - 0
5,Carolina Panthers,5,11,0,0.313,340,470,-130,2 - 6 - 0,3 - 5 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,3 - 1 - 0,8L,0 - 5 - 0
6,Los Angeles Chargers,5,11,0,0.313,337,345,-8,2 - 6 - 0,3 - 5 - 0,0 - 6 - 0,0.000,3 - 9 - 0,0.250,2 - 2 - 0,3L,1 - 4 - 0
7,Miami Dolphins,5,11,0,0.313,306,494,-188,3 - 5 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2W,3 - 2 - 0
8,Cleveland Browns,6,10,0,0.375,335,393,-58,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,0 - 4 - 0,3L,1 - 4 - 0
9,Jacksonville Jaguars,6,10,0,0.375,300,397,-97,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,0 - 4 - 0,1W,2 - 3 - 0
10,Atlanta Falcons,7,9,0,0.438,381,399,-18,3 - 5 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,1 - 3 - 0,4W,4 - 1 - 0
11,Denver Broncos,7,9,0,0.438,282,316,-34,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,2W,4 - 1 - 0
12,Indianapolis Colts,7,9,0,0.438,361,373,-12,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,1L,1 - 4 - 0
13,New York Jets,7,9,0,0.438,276,359,-83,5 - 3 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,3 - 1 - 0,2W,3 - 2 - 0
14,Oakland Raiders,7,9,0,0.438,313,419,-106,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,1L,1 - 4 - 0
15,Tampa Bay Buccaneers,7,9,0,0.438,458,449,9,2 - 6 - 0,5 - 3 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,2L,3 - 2 - 0
16,Chicago Bears,8,8,0,0.500,280,298,-18,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,1 - 3 - 0,1W,3 - 2 - 0
17,Dallas Cowboys,8,8,0,0.500,434,321,113,5 - 3 - 0,3 - 5 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,1W,2 - 3 - 0
18,Pittsburgh Steelers,8,8,0,0.500,289,303,-14,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,3L,2 - 3 - 0
19,Los Angeles Rams,9,7,0,0.563,394,364,30,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0
20,"Philadelphia Eagles
            xz",9,7,0,0.563,385,354,31,5 - 3 - 0,4 - 4 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,4W,4 - 1 - 0
21,"Tennessee Titans
            x",9,7,0,0.563,402,331,71,4 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0
22,"Buffalo Bills
            x",10,6,0,0.625,314,259,55,4 - 4 - 0,6 - 2 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,2L,2 - 3 - 0
23,"Houston Texans
            xz",10,6,0,0.625,378,385,-7,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,1L,3 - 2 - 0
24,"Minnesota Vikings
            x",10,6,0,0.625,407,303,104,6 - 2 - 0,4 - 4 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,3 - 1 - 0,2L,2 - 3 - 0
25,Seattle Seahawks,11,5,0,0.688,405,398,7,4 - 4 - 0,7 - 1 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,3 - 1 - 0,2L,2 - 3 - 0
26,"Kansas City Chiefs
            xz",12,4,0,0.750,451,308,143,5 - 3 - 0,7 - 1 - 0,6 - 0 - 0,1.000,9 - 3 - 0,0.750,3 - 1 - 0,6W,5 - 0 - 0
27,"New England Patriots
            xz",12,4,0,0.750,420,225,195,6 - 2 - 0,6 - 2 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,4 - 0 - 0,1L,2 - 3 - 0
28,"Green Bay Packers
            xz",13,3,0,0.813,376,313,63,7 - 1 - 0,6 - 2 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,3 - 1 - 0,5W,5 - 0 - 0
