,Link,Name,Subtitle,Color,Price,Sale Price
38,https://www.nike.com/t/yoga-dri-fit-mens-short-sleeve-top-Gb9v8d/BV4034-077,Nike Yoga Dri-FIT,Men's Short-Sleeve Top,6 Colors,$50,$31.97
39,https://www.nike.com/t/jordan-jumpman-air-mens-fleece-pants-H7bShX/CK6694-010,Jordan Jumpman Air,Men’s Fleece Pants,1 Color,$55,$41.97
40,https://www.nike.com/t/mamba-fury-basketball-shoe-TRrchD/CK2087-100,Mamba Fury,Basketball Shoe,2 Colors,$100,$94.97
41,https://www.nike.com/t/zoom-freak-2-basketball-shoe-B1c3K6/CK5424-003,Zoom Freak 2,Basketball Shoe,5 Colors,$120,$66.97
42,https://www.nike.com/t/sportswear-down-fill-mens-repel-parka-7FGK5w/CU4392-010,Nike Sportswear Down-Fill,Men's Repel Parka,2 Colors,$350,$185.97
43,https://www.nike.com/t/sportswear-synthetic-fill-mens-repel-m65-jacket-fhtGdQ/CV5562-342,Nike Sportswear Synthetic-Fill,Men's Repel M65 Jacket,4 Colors,$200,$111.97
44,https://www.nike.com/t/kyrie-6-big-kids-basketball-shoe-nF6V4S/BQ5599-102,Kyrie 6,Big Kids' Basketball Shoe,3 Colors,$110,$67.97
45,https://www.nike.com/t/sportswear-club-big-kids-pullover-hoodie-xJspSx/BV3757-624,Nike Sportswear Club,Big Kids' Pullover Hoodie,9 Colors,$40,$27.97
46,https://www.nike.com/t/sportswear-tech-fleece-big-kids-boys-pants-MXK20l/CU9213-325,Nike Sportswear Tech Fleece,Big Kids (Boys') Pants,3 Colors,$80,$48.97
47,https://www.nike.com/t/sportswear-synthetic-fill-womens-parka-N0tqWP/CZ1463-010,Nike Sportswear Synthetic-Fill,Women's Parka,1 Color,$150,$89.97
48,https://www.nike.com/t/pro-womens-tights-CHn1jz/AO9968-010,Nike Pro,Women's Tights,6 Colors,$50,$37.97
49,https://www.nike.com/t/air-max-270-react-womens-shoe-trW1vK/CZ6685-100,Nike Air Max 270 React,Women's Shoe,11 Colors,$160,$142.97
50,https://www.nike.com/t/air-max-2090-womens-shoe-nk9ZbX/CZ3867-100,Nike Air Max 2090,Women's Shoe,5 Colors,$150,$115.97
51,https://www.nike.com/t/sportswear-tech-fleece-womens-pants-BTN208/CW4294-063,Nike Sportswear Tech Fleece,Women's Pants,3 Colors,$90,$50.97
52,https://www.nike.com/t/jordan-flight-womens-fleece-top-8xxF74/CV7783-610,Jordan Flight,Women's Fleece Top,6 Colors,$85,$56.97
53,https://www.nike.com/t/sportswear-tech-fleece-womens-pants-2dFd6t/CW4292-300,Nike Sportswear Tech Fleece,Women's Pants,4 Colors,$100,$62.97
54,https://www.nike.com/t/sportswear-mens-pullover-hoodie-JlWPXX/CU4373-352,Nike Sportswear,Men's Pullover Hoodie,2 Colors,$60,$51.97
55,https://www.nike.com/t/therma-mens-training-pants-xV5QHN/932253-010,Nike Therma,Men's Training Pants,4 Colors,$55,$49.97
56,https://www.nike.com/t/air-max-270-react-mens-shoe-zPRv3k/CI3866-004,Nike Air Max 270 React,Men's Shoe,8 Colors,$160,$89.97
57,https://www.nike.com/t/air-max-iii-mens-shoe-lxZhs3/CJ6779-100,Nike Air Max III,Men's Shoe,1 Color,$140,$80.97
58,https://www.nike.com/t/air-max-2090-mens-shoe-3pVM46/CT1803-002,Nike Air Max 2090,Men's Shoe,10 Colors,$150,$82.97
59,https://www.nike.com/t/air-max-2090-big-kids-shoe-5ZxgsL/CJ4066-004,Nike Air Max 2090,Big Kids' Shoe,18 Colors,$125,$69.97
60,https://www.nike.com/t/sportswear-club-fleece-big-kids-pullover-hoodie-XrCvKR/CJ7861-446,Nike Sportswear Club Fleece,Big Kids’ Pullover Hoodie,12 Colors,$45,$30.97
61,https://www.nike.com/t/therma-big-kids-boys-graphic-tapered-training-pants-6Zn8PK/CU9133-010,Nike Therma,Big Kids' (Boys') Graphic Tapered Training Pants,2 Colors,$40,$32.97
